formula,theoretical
Fe3S2O15,TRUE
K15Nd7Zr9(PO4)24,TRUE
TiV3Fe2(PO4)6,TRUE
Ti3O4,TRUE
LuBiO3,TRUE
Sr7SmFe4(MoO6)4,TRUE
Ca(AlSn)2,TRUE
Cr4PN3O16,FALSE
YAlO3,FALSE
PmHo3,TRUE
Rb(Cr5Te8)3,TRUE
Th2Co7,FALSE
LiAlO2,FALSE
MnFeO3,TRUE
K4Ge2(Se2O)3,FALSE
EuGe3Pd,FALSE
ScGe2,FALSE
Ho2Ni17,FALSE
Zr6Co23,FALSE
Ba2YInSe5,FALSE
CaZr(SiO3)6,TRUE
Ru4Pb4O13,TRUE
Sm2Cr(Fe8C)2,TRUE
Ta6Cr(CS2)3,TRUE
MnPPd,TRUE
Li3Co,TRUE
Cd(PtO2)3,FALSE
Ho3(Si3Pd10)2,TRUE
LiIrRh,TRUE
ScInRh2,TRUE
Li2SnP2O7,TRUE
Sr3MgGeN4,FALSE
LiTmU2S3O2,TRUE
LiCo(SO4)2,TRUE
Pm2MgSn,TRUE
Li4MnNb2WO12,TRUE
SrZnSnWO6,TRUE
Zn2CrFe3O8,TRUE
TiZn2WO6,TRUE
Rb3GdF6,TRUE
Co(N2Cl)3,FALSE
Cu4Au,TRUE
La12Ni6O25,TRUE
Li6VF8,TRUE
Sr2HfCrO6,TRUE
LiFe(SeO3)2,FALSE
TiFe2Ni3(PO4)6,TRUE
FePS3,FALSE
LiNi3O4,TRUE
Zr12Ti4Ni8O,TRUE
Cs2TlSbBr6,TRUE
SrNdMnSnO6,TRUE
IN5,FALSE
Na2FePCO7,TRUE
In4GeSe4,TRUE
V8CuO20,TRUE
La2Mg(CuO3)2,TRUE
LiGe2Rh,TRUE
LiCa2Ta3O10,TRUE
MgZn(FeO2)4,TRUE
NaPrTi4O12,TRUE
Na4Hf2Sc2Si3(SO8)3,TRUE
Li4Fe3(NiO5)2,TRUE
TaNiB2,FALSE
Y2InCu,TRUE
Zn5Ag4Sn3Se13N6,FALSE
Eu2ZrVO6,TRUE
Tm4MgCo,TRUE
Zr(TiGa2)2,FALSE
Na8NbAl3Si4(PO12)2,TRUE
SnC8(NCl3)2,FALSE
Ca4PdO6,FALSE
VGeN2,TRUE
SmY3,TRUE
B9Pb8O21F,TRUE
Mg3BiSb,TRUE
InGeCl3,TRUE
BaTbEuBiO6,TRUE
Ba4Ir3N7,TRUE
K3AsS4,FALSE
CaSmMg2,TRUE
Lu5Ge4,FALSE
PrEuAg2,TRUE
Ce2Sb4Rh3,FALSE
Ba2YW3O7,TRUE
Na2Cr(HO)8,FALSE
Y2Te3,FALSE
PrC19S6N9O2,TRUE
Ni(PS3)2,TRUE
Sr2YbMoO6,FALSE
V2Cd(PO5)2,FALSE
Sr3ScRhO6,FALSE
YbCd3,TRUE
BaV2P4O17,FALSE
Ti2MnFe,TRUE
Na5LiCo2P2(CO7)2,TRUE
Rb2BiAuCl6,TRUE
ZnCoSn2O7,TRUE
La(Mo3Se4)2,FALSE
NaSmHf4O12,TRUE
LiCaP3H8O13,FALSE
Li4TiV3O10,TRUE
CsV(SO4)2,FALSE
Nb3TeI7,FALSE
Hf2ReAg,TRUE
BaCa2(CoN2)2,TRUE
Ho3(SbPd2)4,TRUE
SmU2Se5,TRUE
Tm2Mn3Sb3O14,TRUE
BaSrPrNbO6,TRUE
Ce3(CuSn)4,FALSE
Ca3(AlGe)2,FALSE
U3Co2Si7,FALSE
Ta2Mn4O9,FALSE
Sr12Sn4N3,TRUE
Ba2Mn3Tl2O10,TRUE
Ca3SbN,FALSE
Tl5Se3,FALSE
Tm3CrS6,TRUE
Ag3Te(AsO7)2,TRUE
LuNiC2,FALSE
Na4MnO3,TRUE
Ba2B4Se13,FALSE
FeCu6GeS8,TRUE
Ti3CrCu2(PO4)6,TRUE
PtAu,TRUE
Ba2DyPaO6,TRUE
NaNbN2,FALSE
RbIO3,FALSE
RbNa3Li12(SiO4)4,FALSE
Nb8Cu2O21,TRUE
NaCu3F7,FALSE
ScTl3F6,TRUE
Mn2PO5,FALSE
Na2MgSn,FALSE
Mn3Cr3(SnO8)2,TRUE
K(Mo2O3)4,TRUE
DySeI,TRUE
Na3Zr2SiSn2P5O24,TRUE
CeZnIn,FALSE
Li9Mn7V12O48,TRUE
HgPS3,FALSE
TlV6PSe7,TRUE
HfF4,FALSE
NaZrPCO7,TRUE
Y3Si3Rh,FALSE
Zn3As2(H2O3)4,FALSE
Li3Fe9O5F11,TRUE
MnVO4,TRUE
Mg2PdAu,TRUE
Li6Ti2O7,TRUE
V5Te4,FALSE
Nd5CuSe8,TRUE
Mn(CO)6,TRUE
CsMgF3,FALSE
TmFe4(CuO4)3,FALSE
LaCd3,TRUE
Ru(C4N3)2,TRUE
Fe8O17,TRUE
Y6FeBi2,TRUE
Np(BH4)4,FALSE
KGdHfTiO6,TRUE
Ba2HoReO6,FALSE
MnCr2Ni3(PO4)6,TRUE
SbCSF11,FALSE
TmCoGe,FALSE
Mg17Al12,FALSE
CrN2,TRUE
TiNb2Mo,TRUE
CsScO2,TRUE
Er6Al43W4,FALSE
Sr2Ca2Fe3CoO12,TRUE
Mg14CdBi,TRUE
KFeCl4,FALSE
Li4FeCu3(PO4)4,TRUE
Li2P(H2O3)2,FALSE
CeYIn2,TRUE
K2Se,FALSE
Ca2TeWO6,TRUE
Y2AgOs,TRUE
Cs2VBr5O4,FALSE
Mo9O25,FALSE
K2CrCuF6,TRUE
ReF7,FALSE
NpAs3,TRUE
Np2InPt2,FALSE
KLaMg14,TRUE
K3Dy(AsS4)2,FALSE
Ce2Co5B2,FALSE
GaCuCl4,FALSE
NaCeMnWO6,TRUE
Mg14ZnW,TRUE
InSiPt5,FALSE
Li2AgSb,FALSE
Sr2La2Mg(RuO4)3,TRUE
BeAlH5,TRUE
SrU2Se5,FALSE
Pb4SBr6,TRUE
Ba8Mn3N8,TRUE
BaYNi4O7,TRUE
Sr3MoO6,TRUE
Mn2Fe3Co(PO4)6,TRUE
NaSrNbSbO6,TRUE
